Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javapoet,com.squareup.javapoet,JavaFileTest,importStaticMixed,Long Statement,The length of the statement "assertThat(source.toString()).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import static java.lang.System.*;\n"+ "import static java.lang.Thread.State.BLOCKED;\n"+ "import static java.lang.Thread.State.valueOf;\n"+ "\n"+ "import java.lang.Thread;\n"+ "\n"+ "class Taco {\n"+ " static {\n"+ " assert valueOf(\"BLOCKED\") == BLOCKED;\n"+ " gc();\n"+ " out.println(nanoTime());\n"+ " }\n"+ "\n"+ " Taco(Thread.State... states) {\n"+ " }\n"+ "}\n");" is 456.,123
javapoet,com.squareup.javapoet,JavaFileTest,importStaticDynamic,Long Statement,The length of the statement "JavaFile source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addMethod(MethodSpec.methodBuilder("main").addStatement("$T.$L.println($S)"`System.class`"out"`"hello").build()).build()).addStaticImport(System.class`"out").build();" is 250.,161
javapoet,com.squareup.javapoet,JavaFileTest,importStaticDynamic,Long Statement,The length of the statement "assertThat(source.toString()).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import static java.lang.System.out;\n"+ "\n"+ "class Taco {\n"+ " void main() {\n"+ " out.println(\"hello\");\n"+ " }\n"+ "}\n");" is 215.,161
javapoet,com.squareup.javapoet,JavaFileTest,importStaticNone,Long Statement,The length of the statement "assertThat(JavaFile.builder("readme"`importStaticTypeSpec("Util")).build().toString()).isEqualTo("" + "package readme;\n" + "\n"+ "import java.lang.System;\n"+ "import java.util.concurrent.TimeUnit;\n"+ "\n"+ "class Util {\n"+ " public static long minutesToSeconds(long minutes) {\n"+ " System.gc();\n"+ " return TimeUnit.SECONDS.convert(minutes` TimeUnit.MINUTES);\n"+ " }\n"+ "}\n");" is 385.,183
javapoet,com.squareup.javapoet,JavaFileTest,importStaticOnce,Long Statement,The length of the statement "assertThat(JavaFile.builder("readme"`importStaticTypeSpec("Util")).addStaticImport(TimeUnit.SECONDS).build().toString()).isEqualTo("" + "package readme;\n" + "\n"+ "import static java.util.concurrent.TimeUnit.SECONDS;\n"+ "\n"+ "import java.lang.System;\n"+ "import java.util.concurrent.TimeUnit;\n"+ "\n"+ "class Util {\n"+ " public static long minutesToSeconds(long minutes) {\n"+ " System.gc();\n"+ " return SECONDS.convert(minutes` TimeUnit.MINUTES);\n"+ " }\n"+ "}\n");" is 474.,199
javapoet,com.squareup.javapoet,JavaFileTest,importStaticTwice,Long Statement,The length of the statement "assertThat(JavaFile.builder("readme"`importStaticTypeSpec("Util")).addStaticImport(TimeUnit.SECONDS).addStaticImport(TimeUnit.MINUTES).build().toString()).isEqualTo("" + "package readme;\n" + "\n"+ "import static java.util.concurrent.TimeUnit.MINUTES;\n"+ "import static java.util.concurrent.TimeUnit.SECONDS;\n"+ "\n"+ "import java.lang.System;\n"+ "\n"+ "class Util {\n"+ " public static long minutesToSeconds(long minutes) {\n"+ " System.gc();\n"+ " return SECONDS.convert(minutes` MINUTES);\n"+ " }\n"+ "}\n");" is 514.,218
javapoet,com.squareup.javapoet,JavaFileTest,importStaticUsingWildcards,Long Statement,The length of the statement "assertThat(JavaFile.builder("readme"`importStaticTypeSpec("Util")).addStaticImport(TimeUnit.class`"*").addStaticImport(System.class`"*").build().toString()).isEqualTo("" + "package readme;\n" + "\n"+ "import static java.lang.System.*;\n"+ "import static java.util.concurrent.TimeUnit.*;\n"+ "\n"+ "class Util {\n"+ " public static long minutesToSeconds(long minutes) {\n"+ " gc();\n"+ " return SECONDS.convert(minutes` MINUTES);\n"+ " }\n"+ "}\n");" is 448.,238
javapoet,com.squareup.javapoet,JavaFileTest,importStaticTypeSpec,Long Statement,The length of the statement "MethodSpec method=MethodSpec.methodBuilder("minutesToSeconds").addModifiers(Modifier.PUBLIC`Modifier.STATIC).returns(long.class).addParameter(long.class`"minutes").addStatement("$T.gc()"`System.class).addStatement("return $1T.SECONDS.convert(minutes` $1T.MINUTES)"`TimeUnit.class).build();" is 289.,256
javapoet,com.squareup.javapoet,JavaFileTest,singleImport,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(Date.class`"madeFreshDate").build()).build().toString();" is 147.,279
javapoet,com.squareup.javapoet,JavaFileTest,singleImport,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import java.util.Date;\n"+ "\n"+ "class Taco {\n"+ " Date madeFreshDate;\n"+ "}\n");" is 159.,279
javapoet,com.squareup.javapoet,JavaFileTest,conflictingImports,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(Date.class`"madeFreshDate").addField(ClassName.get("java.sql"`"Date")`"madeFreshDatabaseDate").build()).build().toString();" is 214.,296
javapoet,com.squareup.javapoet,JavaFileTest,conflictingImports,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import java.util.Date;\n"+ "\n"+ "class Taco {\n"+ " Date madeFreshDate;\n"+ "\n"+ " java.sql.Date madeFreshDatabaseDate;\n"+ "}\n");" is 208.,296
javapoet,com.squareup.javapoet,JavaFileTest,annotatedTypeParam,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ParameterizedTypeName.get(ClassName.get(List.class)`ClassName.get("com.squareup.meat"`"Chorizo").annotated(AnnotationSpec.builder(ClassName.get("com.squareup.tacos"`"Spicy")).build()))`"chorizo").build()).build().toString();" is 315.,316
javapoet,com.squareup.javapoet,JavaFileTest,annotatedTypeParam,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.meat.Chorizo;\n"+ "import java.util.List;\n"+ "\n"+ "class Taco {\n"+ " List<@Spicy Chorizo> chorizo;\n"+ "}\n");" is 208.,316
javapoet,com.squareup.javapoet,JavaFileTest,skipJavaLangImportsWithConflictingClassLast,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("java.lang"`"Float")`"litres").addField(ClassName.get("com.squareup.soda"`"Float")`"beverage").build()).skipJavaLangImports(true).build().toString();" is 254.,337
javapoet,com.squareup.javapoet,JavaFileTest,skipJavaLangImportsWithConflictingClassLast,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco {\n"+ " Float litres;\n"+ "\n"+ " com.squareup.soda.Float beverage;\n"+ "}\n");" is 165.,337
javapoet,com.squareup.javapoet,JavaFileTest,skipJavaLangImportsWithConflictingClassFirst,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("com.squareup.soda"`"Float")`"beverage").addField(ClassName.get("java.lang"`"Float")`"litres").build()).skipJavaLangImports(true).build().toString();" is 254.,357
javapoet,com.squareup.javapoet,JavaFileTest,skipJavaLangImportsWithConflictingClassFirst,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.soda.Float;\n"+ "\n"+ "class Taco {\n"+ " Float beverage;\n"+ "\n"+ " java.lang.Float litres;\n"+ "}\n");" is 200.,357
javapoet,com.squareup.javapoet,JavaFileTest,conflictingParentName,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("A").addType(TypeSpec.classBuilder("B").addType(TypeSpec.classBuilder("Twin").build()).addType(TypeSpec.classBuilder("C").addField(ClassName.get("com.squareup.tacos"`"A"`"Twin"`"D")`"d").build()).build()).addType(TypeSpec.classBuilder("Twin").addType(TypeSpec.classBuilder("D").build()).build()).build()).build().toString();" is 398.,379
javapoet,com.squareup.javapoet,JavaFileTest,conflictingParentName,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class A {\n"+ " class B {\n"+ " class Twin {\n"+ " }\n"+ "\n"+ " class C {\n"+ " A.Twin.D d;\n"+ " }\n"+ " }\n"+ "\n"+ " class Twin {\n"+ " class D {\n"+ " }\n"+ " }\n"+ "}\n");" is 252.,379
javapoet,com.squareup.javapoet,JavaFileTest,conflictingChildName,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("A").addType(TypeSpec.classBuilder("B").addType(TypeSpec.classBuilder("C").addField(ClassName.get("com.squareup.tacos"`"A"`"Twin"`"D")`"d").addType(TypeSpec.classBuilder("Twin").build()).build()).build()).addType(TypeSpec.classBuilder("Twin").addType(TypeSpec.classBuilder("D").build()).build()).build()).build().toString();" is 398.,415
javapoet,com.squareup.javapoet,JavaFileTest,conflictingChildName,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class A {\n"+ " class B {\n"+ " class C {\n"+ " A.Twin.D d;\n"+ "\n"+ " class Twin {\n"+ " }\n"+ " }\n"+ " }\n"+ "\n"+ " class Twin {\n"+ " class D {\n"+ " }\n"+ " }\n"+ "}\n");" is 252.,415
javapoet,com.squareup.javapoet,JavaFileTest,conflictingNameOutOfScope,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("A").addType(TypeSpec.classBuilder("B").addType(TypeSpec.classBuilder("C").addField(ClassName.get("com.squareup.tacos"`"A"`"Twin"`"D")`"d").addType(TypeSpec.classBuilder("Nested").addType(TypeSpec.classBuilder("Twin").build()).build()).build()).build()).addType(TypeSpec.classBuilder("Twin").addType(TypeSpec.classBuilder("D").build()).build()).build()).build().toString();" is 447.,451
javapoet,com.squareup.javapoet,JavaFileTest,conflictingNameOutOfScope,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class A {\n"+ " class B {\n"+ " class C {\n"+ " Twin.D d;\n"+ "\n"+ " class Nested {\n"+ " class Twin {\n"+ " }\n"+ " }\n"+ " }\n"+ " }\n"+ "\n"+ " class Twin {\n"+ " class D {\n"+ " }\n"+ " }\n"+ "}\n");" is 279.,451
javapoet,com.squareup.javapoet,JavaFileTest,nestedClassAndSuperclassShareName,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").superclass(ClassName.get("com.squareup.wire"`"Message")).addType(TypeSpec.classBuilder("Builder").superclass(ClassName.get("com.squareup.wire"`"Message"`"Builder")).build()).build()).build().toString();" is 284.,491
javapoet,com.squareup.javapoet,JavaFileTest,nestedClassAndSuperclassShareName,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import com.squareup.wire.Message;\n"+ "\n"+ "class Taco extends Message {\n"+ " class Builder extends Message.Builder {\n"+ " }\n"+ "}\n");" is 214.,491
javapoet,com.squareup.javapoet,JavaFileTest,classAndSuperclassShareName,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").superclass(ClassName.get("com.taco.bell"`"Taco")).build()).build().toString();" is 160.,512
javapoet,com.squareup.javapoet,JavaFileTest,classAndSuperclassShareName,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco extends com.taco.bell.Taco {\n"+ "}\n");" is 126.,512
javapoet,com.squareup.javapoet,JavaFileTest,conflictingAnnotation,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addAnnotation(ClassName.get("com.taco.bell"`"Taco")).build()).build().toString();" is 163.,526
javapoet,com.squareup.javapoet,JavaFileTest,conflictingAnnotation,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "@com.taco.bell.Taco\n"+ "class Taco {\n"+ "}\n");" is 124.,526
javapoet,com.squareup.javapoet,JavaFileTest,conflictingAnnotationReferencedClass,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addAnnotation(AnnotationSpec.builder(ClassName.get("com.squareup.tacos"`"MyAnno")).addMember("value"`"$T.class"`ClassName.get("com.taco.bell"`"Taco")).build()).build()).build().toString();" is 270.,541
javapoet,com.squareup.javapoet,JavaFileTest,conflictingAnnotationReferencedClass,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "@MyAnno(com.taco.bell.Taco.class)\n"+ "class Taco {\n"+ "}\n");" is 138.,541
javapoet,com.squareup.javapoet,JavaFileTest,conflictingTypeVariableBound,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addTypeVariable(TypeVariableName.get("T"`ClassName.get("com.taco.bell"`"Taco"))).build()).build().toString();" is 191.,558
javapoet,com.squareup.javapoet,JavaFileTest,conflictingTypeVariableBound,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco<T extends com.taco.bell.Taco> {\n"+ "}\n");" is 129.,558
javapoet,com.squareup.javapoet,JavaFileTest,superclassReferencesSelf,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").superclass(ParameterizedTypeName.get(ClassName.get(Comparable.class)`ClassName.get("com.squareup.tacos"`"Taco"))).build()).build().toString();" is 224.,573
javapoet,com.squareup.javapoet,JavaFileTest,superclassReferencesSelf,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import java.lang.Comparable;\n"+ "\n"+ "class Taco extends Comparable<Taco> {\n"+ "}\n");" is 164.,573
javapoet,com.squareup.javapoet,JavaFileTest,annotationIsNestedClass,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("TestComponent").addAnnotation(ClassName.get("dagger"`"Component")).addType(TypeSpec.classBuilder("Builder").addAnnotation(ClassName.get("dagger"`"Component"`"Builder")).build()).build()).build().toString();" is 281.,590
javapoet,com.squareup.javapoet,JavaFileTest,annotationIsNestedClass,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import dagger.Component;\n"+ "\n"+ "@Component\n"+ "class TestComponent {\n"+ " @Component.Builder\n"+ " class Builder {\n"+ " }\n"+ "}\n");" is 215.,590
javapoet,com.squareup.javapoet,JavaFileTest,defaultPackage,Long Statement,The length of the statement "String source=JavaFile.builder(""`TypeSpec.classBuilder("HelloWorld").addMethod(MethodSpec.methodBuilder("main").addModifiers(Modifier.PUBLIC`Modifier.STATIC).addParameter(String[].class`"args").addCode("$T.out.println($S);\n"`System.class`"Hello World!").build()).build()).build().toString();" is 293.,614
javapoet,com.squareup.javapoet,JavaFileTest,defaultPackage,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "import java.lang.String;\n" + "import java.lang.System;\n"+ "\n"+ "class HelloWorld {\n"+ " public static void main(String[] args) {\n"+ " System.out.println(\"Hello World!\");\n"+ " }\n"+ "}\n");" is 231.,614
javapoet,com.squareup.javapoet,JavaFileTest,defaultPackageTypesAreNotImported,Long Statement,The length of the statement "String source=JavaFile.builder("hello"`TypeSpec.classBuilder("World").addSuperinterface(ClassName.get(""`"Test")).build()).build().toString();" is 142.,636
javapoet,com.squareup.javapoet,JavaFileTest,topOfFileComment,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").build()).addFileComment("Generated $L by JavaPoet. DO NOT EDIT!"`"2015-01-13").build().toString();" is 180.,648
javapoet,com.squareup.javapoet,JavaFileTest,topOfFileComment,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "// Generated 2015-01-13 by JavaPoet. DO NOT EDIT!\n" + "package com.squareup.tacos;\n"+ "\n"+ "class Taco {\n"+ "}\n");" is 154.,648
javapoet,com.squareup.javapoet,JavaFileTest,emptyLinesInTopOfFileComment,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").build()).addFileComment("\nGENERATED FILE:\n\nDO NOT EDIT!\n").build().toString();" is 164.,662
javapoet,com.squareup.javapoet,JavaFileTest,emptyLinesInTopOfFileComment,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "//\n" + "// GENERATED FILE:\n"+ "//\n"+ "// DO NOT EDIT!\n"+ "//\n"+ "package com.squareup.tacos;\n"+ "\n"+ "class Taco {\n"+ "}\n");" is 168.,662
javapoet,com.squareup.javapoet,JavaFileTest,packageClassConflictsWithNestedClass,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("com.squareup.tacos"`"A")`"a").addType(TypeSpec.classBuilder("A").build()).build()).build().toString();" is 208.,680
javapoet,com.squareup.javapoet,JavaFileTest,packageClassConflictsWithNestedClass,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco {\n"+ " com.squareup.tacos.A a;\n"+ "\n"+ " class A {\n"+ " }\n"+ "}\n");" is 159.,680
javapoet,com.squareup.javapoet,JavaFileTest,packageClassConflictsWithSuperlass,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").superclass(ClassName.get("com.taco.bell"`"A")).addField(ClassName.get("com.squareup.tacos"`"A")`"a").build()).build().toString();" is 211.,699
javapoet,com.squareup.javapoet,JavaFileTest,packageClassConflictsWithSuperlass,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco extends com.taco.bell.A {\n"+ " A a;\n"+ "}\n");" is 134.,699
javapoet,com.squareup.javapoet,JavaFileTest,modifyStaticImports,Long Statement,The length of the statement "JavaFile.Builder builder=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").build()).addStaticImport(File.class`"separator");" is 142.,715
javapoet,com.squareup.javapoet,JavaFileTest,modifyStaticImports,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import static java.io.File.separatorChar;\n"+ "\n"+ "class Taco {\n"+ "}\n");" is 152.,715
javapoet,com.squareup.javapoet,JavaFileTest,alwaysQualifySimple,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(Thread.class`"thread").alwaysQualify("Thread").build()).build().toString();" is 166.,735
javapoet,com.squareup.javapoet,JavaFileTest,alwaysQualifySimple,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco {\n"+ " java.lang.Thread thread;\n"+ "}\n");" is 130.,735
javapoet,com.squareup.javapoet,JavaFileTest,alwaysQualifySupersedesJavaLangImports,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(Thread.class`"thread").alwaysQualify("Thread").build()).skipJavaLangImports(true).build().toString();" is 192.,751
javapoet,com.squareup.javapoet,JavaFileTest,alwaysQualifySupersedesJavaLangImports,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "class Taco {\n"+ " java.lang.Thread thread;\n"+ "}\n");" is 130.,751
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaClass,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("other"`"NestedTypeA")`"nestedA").addField(ClassName.get("other"`"NestedTypeB")`"nestedB").addField(ClassName.get("other"`"NestedTypeC")`"nestedC").addField(ClassName.get("other"`"Foo")`"foo").avoidClashesWithNestedClasses(Foo.class).build()).build().toString();" is 367.,768
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaClass,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import other.Foo;\n"+ "import other.NestedTypeC;\n"+ "\n"+ "class Taco {\n"+ " other.NestedTypeA nestedA;\n"+ "\n"+ " other.NestedTypeB nestedB;\n"+ "\n"+ " NestedTypeC nestedC;\n"+ "\n"+ " Foo foo;\n"+ "}\n");" is 285.,768
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaTypeElement,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("other"`"NestedTypeA")`"nestedA").addField(ClassName.get("other"`"NestedTypeB")`"nestedB").addField(ClassName.get("other"`"NestedTypeC")`"nestedC").addField(ClassName.get("other"`"Foo")`"foo").avoidClashesWithNestedClasses(getElement(Foo.class)).build()).build().toString();" is 379.,799
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaTypeElement,Long Statement,The length of the statement "assertThat(source).isEqualTo("" + "package com.squareup.tacos;\n" + "\n"+ "import other.Foo;\n"+ "import other.NestedTypeC;\n"+ "\n"+ "class Taco {\n"+ " other.NestedTypeA nestedA;\n"+ "\n"+ " other.NestedTypeB nestedB;\n"+ "\n"+ " NestedTypeC nestedC;\n"+ "\n"+ " Foo foo;\n"+ "}\n");" is 285.,799
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaSuperinterfaceType,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.tacos"`TypeSpec.classBuilder("Taco").addField(ClassName.get("other"`"NestedTypeA")`"nestedA").addField(ClassName.get("other"`"NestedTypeB")`"nestedB").addField(ClassName.get("other"`"NestedTypeC")`"nestedC").addField(ClassName.get("other"`"Foo")`"foo").addType(TypeSpec.classBuilder("NestedTypeA").build()).addType(TypeSpec.classBuilder("NestedTypeB").build()).addSuperinterface(FooInterface.class).build()).build().toString();" is 472.,830
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashesWithNestedClasses_viaSuperinterfaceType,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.tacos;\n" + "\n" + "import com.squareup.javapoet.JavaFileTest;\n"+ "import other.Foo;\n"+ "import other.NestedTypeC;\n"+ "\n"+ "class Taco implements JavaFileTest.FooInterface {\n"+ " other.NestedTypeA nestedA;\n"+ "\n"+ " other.NestedTypeB nestedB;\n"+ "\n"+ " NestedTypeC nestedC;\n"+ "\n"+ " Foo foo;\n"+ "\n"+ " class NestedTypeA {\n"+ " }\n"+ "\n"+ " class NestedTypeB {\n"+ " }\n"+ "}\n");" is 446.,830
javapoet,com.squareup.javapoet,JavaFileTest,childTypeBuilder,Long Statement,The length of the statement "return TypeSpec.classBuilder("Child").addMethod(MethodSpec.methodBuilder("optionalString").returns(ParameterizedTypeName.get(Optional.class`String.class)).addStatement("return $T.empty()"`Optional.class).build()).addMethod(MethodSpec.methodBuilder("pattern").returns(Pattern.class).addStatement("return null").build());" is 319.,887
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superclass_type,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.javapoet"`childTypeBuilder().superclass(Parent.class).build()).build().toString();" is 127.,899
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superclass_type,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.lang.String;\n"+ "\n"+ "class Child extends JavaFileTest.Parent {\n"+ " java.util.Optional<String> optionalString() {\n"+ " return java.util.Optional.empty();\n"+ " }\n"+ "\n"+ " java.util.regex.Pattern pattern() {\n"+ " return null;\n"+ " }\n"+ "}\n");" is 339.,899
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superclass_typeMirror,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.javapoet"`childTypeBuilder().superclass(getElement(Parent.class).asType()).build()).build().toString();" is 148.,920
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superclass_typeMirror,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.lang.String;\n"+ "\n"+ "class Child extends JavaFileTest.Parent {\n"+ " java.util.Optional<String> optionalString() {\n"+ " return java.util.Optional.empty();\n"+ " }\n"+ "\n"+ " java.util.regex.Pattern pattern() {\n"+ " return null;\n"+ " }\n"+ "}\n");" is 339.,920
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superinterface_type,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.javapoet"`childTypeBuilder().addSuperinterface(ParentInterface.class).build()).build().toString();" is 143.,941
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superinterface_type,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.lang.String;\n"+ "import java.util.regex.Pattern;\n"+ "\n"+ "class Child implements JavaFileTest.ParentInterface {\n"+ " java.util.Optional<String> optionalString() {\n"+ " return java.util.Optional.empty();\n"+ " }\n"+ "\n"+ " Pattern pattern() {\n"+ " return null;\n"+ " }\n"+ "}\n");" is 372.,941
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superinterface_typeMirror,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.javapoet"`childTypeBuilder().addSuperinterface(getElement(ParentInterface.class).asType()).build()).build().toString();" is 164.,963
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_parentChild_superinterface_typeMirror,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.lang.String;\n"+ "import java.util.regex.Pattern;\n"+ "\n"+ "class Child implements JavaFileTest.ParentInterface {\n"+ " java.util.Optional<String> optionalString() {\n"+ " return java.util.Optional.empty();\n"+ " }\n"+ "\n"+ " Pattern pattern() {\n"+ " return null;\n"+ " }\n"+ "}\n");" is 372.,963
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_mapEntry,Long Statement,The length of the statement "String source=JavaFile.builder("com.squareup.javapoet"`TypeSpec.classBuilder("MapType").addMethod(MethodSpec.methodBuilder("optionalString").returns(ClassName.get("com.foo"`"Entry")).addStatement("return null").build()).addSuperinterface(Map.class).build()).build().toString();" is 277.,1000
javapoet,com.squareup.javapoet,JavaFileTest,avoidClashes_mapEntry,Long Statement,The length of the statement "assertThat(source).isEqualTo("package com.squareup.javapoet;\n" + "\n" + "import java.util.Map;\n"+ "\n"+ "class MapType implements Map {\n"+ " com.foo.Entry optionalString() {\n"+ " return null;\n"+ " }\n"+ "}\n");" is 215.,1000
javapoet,com.squareup.javapoet,LineWrapperTest,wrap,Magic Number,The method contains a magic number: 10,26
javapoet,com.squareup.javapoet,LineWrapperTest,wrap,Magic Number,The method contains a magic number: 2,26
javapoet,com.squareup.javapoet,LineWrapperTest,noWrap,Magic Number,The method contains a magic number: 10,36
javapoet,com.squareup.javapoet,LineWrapperTest,noWrap,Magic Number,The method contains a magic number: 2,36
javapoet,com.squareup.javapoet,LineWrapperTest,zeroWidthNoWrap,Magic Number,The method contains a magic number: 10,46
javapoet,com.squareup.javapoet,LineWrapperTest,zeroWidthNoWrap,Magic Number,The method contains a magic number: 2,46
javapoet,com.squareup.javapoet,LineWrapperTest,nospaceWrapMax,Magic Number,The method contains a magic number: 10,56
javapoet,com.squareup.javapoet,LineWrapperTest,nospaceWrapMax,Magic Number,The method contains a magic number: 2,56
javapoet,com.squareup.javapoet,LineWrapperTest,multipleWrite,Magic Number,The method contains a magic number: 10,66
javapoet,com.squareup.javapoet,LineWrapperTest,fencepost,Magic Number,The method contains a magic number: 10,90
javapoet,com.squareup.javapoet,LineWrapperTest,fencepost,Magic Number,The method contains a magic number: 2,90
